date_start,title,lst_keywords,len_keywords,link,extracted
17.08.2020,Software Developer with PHP or Python,"sql,python,php,go,cassandra,java",32,https://www.jobs.bg/5388240,true
17.08.2020,Senior Python Developer [REMOTE ROLE],"aws,spark,python,azure,scala,cassandra,etl,hadoop",49,https://www.jobs.bg/5399862,true
13.08.2020,Senior Software Developer Angular/React/ Vue/PHP/ Ruby/Python/ Node.js/React Native,"sql,aws,python,php,azure,ruby",29,https://www.jobs.bg/5397235,true
11.08.2020,Python Developer,"pandas,sql,aws,python",21,https://www.jobs.bg/5395523,true
10.08.2020,Back End Developer Python (microservices),"python,flask,aws,sql",20,https://www.jobs.bg/5393845,true
30.07.2020,Python Developer,"django,excel,flask,python",25,https://www.jobs.bg/5383214,true
29.07.2020,Python Developer,python,6,https://www.jobs.bg/5381983,true
28.07.2020,Software Developer Go/Python (Cyber Protect Team),"sql,python,r,rdbms,go,mssql",27,https://www.jobs.bg/5381329,true
21.08.2020,Big Data Developer with Azure,"sql,spark,aws,python,r,azure,scala,cassandra,ml,c,hbase,java,etl,hadoop",71,https://www.jobs.bg/5405964,true
21.08.2020,Senior IP Network Engineer,"r,python,perl",13,https://www.jobs.bg/5405841,true
20.08.2020,Senior Backend Software Engineer,"java,aws,python,r,go,c++",24,https://www.jobs.bg/5405316,true
20.08.2020,DevOps Engineer (AWS),"aws,perl,python,ruby,bash,shell",31,https://www.jobs.bg/5404935,true
19.08.2020,Data Scientist,"sas,sql,python,r,spss",21,https://www.jobs.bg/5404010,true
19.08.2020,Big Data Engineer,"hdfs,sql,spark,java,python,go,hbase,hive,flume,hadoop",53,https://www.jobs.bg/5403863,true
19.08.2020,DevOps Engineer,"azure,bash,aws,python",21,https://www.jobs.bg/5403848,true
18.08.2020,Senior Engineer Microelectronics,"python,c++,shell,c",18,https://www.jobs.bg/5403090,true
18.08.2020,"Product Manager - Trading, Skrill and NETELLER","php,ruby,java,python",20,https://www.jobs.bg/5403014,true
18.08.2020,Product Development Manager - API and Integration,"r,tableau,go,python",19,https://www.jobs.bg/5401819,true
17.08.2020,Lead Back-end Engineer,"django,python",13,https://www.jobs.bg/5401670,true
17.08.2020,Linux Systems Engineer / Administrator,"php,python,sql,c",16,https://www.jobs.bg/5383573,true
17.08.2020,Senior Web Administrator,"bash,sql,python",15,https://www.jobs.bg/5401322,true
17.08.2020,Big Data Engineer,"hdfs,sql,spark,java,python,go,hbase,hive,flume,hadoop",53,https://www.jobs.bg/5400845,true
17.08.2020,DevOps Engineer,"aws,perl,python,azure,ruby,c,bash,java,shell",44,https://www.jobs.bg/5400035,true
